133.09,139.0,0.19
129.08,137.5,0.25
129.2,137.0,0.3
135.82,140.64,0.36
150.27,144.82,0.41
164.85,147.54,0.45
184.67,150.67,0.5
205.0,150.0,0.55
223.47,148.2,0.59
239.07,143.71,0.64
251.5,138.71,0.69
260.5,135.0,0.73
262.87,132.73,0.78
260.91,133.36,0.83
255.0,138.23,0.88
242.57,142.07,0.92
226.77,147.15,0.97
208.2,150.93,1.02
188.0,151.36,1.06
168.64,150.55,1.11
151.73,147.2,1.16
139.43,143.29,1.21
133.0,139.0,1.27
130.15,138.31,1.33
132.85,139.85,1.38
138.79,143.93,1.42
152.27,146.4,1.47
170.13,149.53,1.52
191.0,149.6,1.57
208.6,150.4,1.61
227.0,146.58,1.66
240.21,142.5,1.71
252.0,138.31,1.75
259.92,134.77,1.8
262.83,133.58,1.84
259.83,134.67,1.89
251.67,139.07,1.94
238.8,143.27,1.98
222.92,147.77,2.03
204.5,152.0,2.08
184.73,147.73,2.12
167.57,149.57,2.17
151.69,145.46,2.22
139.92,141.92,2.27
132.57,139.86,2.31
131.14,139.5,2.36
135.62,141.46,2.41
143.0,143.0,2.45
157.15,147.15,2.5
174.17,149.17,2.55
193.8,150.6,2.6
212.85,147.92,2.64
229.46,145.62,2.69
244.71,141.07,2.74
254.25,138.0,2.78
261.45,133.73,2.83
261.2,135.2,2.88
257.0,135.62,2.93
249.43,139.57,2.97
234.5,143.5,3.02
218.75,147.5,3.07
201.31,152.23,3.11
182.67,150.33,3.16
163.46,149.08,3.21
148.56,147.0,3.25
139.33,141.83,3.3
132.77,139.38,3.35
132.83,139.33,3.39
136.08,140.46,3.44
145.14,143.93,3.49
160.0,149.27,3.53
176.85,150.92,3.58
197.07,151.5,3.63
215.8,150.6,3.67
233.2,145.47,3.72
246.69,141.46,3.77
254.79,137.57,3.81
259.92,134.5,3.86
259.23,135.54,3.91
254.92,136.92,3.96
245.08,141.69,4.0
232.17,145.75,4.05
215.31,149.92,4.1
196.67,150.75,4.15
177.0,147.75,4.19
160.58,147.42,4.24
146.56,143.11,4.28
136.5,139.2,4.33
132.33,138.58,4.38
131.9,137.1,4.43
137.5,139.1,4.47
148.8,144.2,4.52
164.42,146.83,4.56
181.36,147.73,4.61
198.08,149.08,4.66
219.67,149.33,4.7
234.0,144.0,4.75
246.3,141.2,5.67
254.9,135.5,5.72
259.0,133.11,5.77
258.0,133.11,5.81
252.22,135.44,5.86
241.45,140.73,5.9
228.09,145.09,5.95
211.6,146.7,6.0
193.08,148.69,6.05
177.25,148.42,6.09
157.82,146.64,6.14
144.2,143.5,6.19
136.27,139.27,6.23
132.7,136.9,6.28
136.3,138.6,6.33
143.18,141.55,6.37
155.45,144.27,6.42
167.69,147.38,6.47
185.36,147.55,6.51
203.92,149.77,6.56
221.73,146.82,6.61
236.64,142.18,6.65
247.55,137.73,6.7
256.09,135.45,6.75
259.0,133.91,6.8
257.91,134.27,6.84
250.64,137.82,6.89
240.75,142.25,6.94
224.47,146.73,6.98
208.58,148.42,7.03
190.64,149.91,7.08
172.08,148.75,7.13
157.08,146.67,7.18
144.62,143.15,7.22
137.09,139.82,7.27
134.15,139.08,7.33
138.17,139.83,7.53
144.42,141.5,7.58
156.0,145.64,7.63
173.55,150.0,7.67
191.18,151.0,7.72
208.82,150.09,7.77
223.18,146.91,7.81
240.09,143.73,7.86
250.27,139.91,7.91
254.55,136.55,7.95
258.0,134.0,8.0
253.11,137.44,8.04
245.82,138.73,8.09
234.55,142.82,8.14
220.44,146.67,8.19
203.25,151.38,8.24
185.27,150.09,8.28
170.36,148.73,8.33
152.73,144.09,8.37
142.27,140.73,8.42
135.73,138.36,8.47
135.3,137.1,8.51
137.91,138.82,8.56
146.45,141.45,8.61
159.78,146.56,8.65
176.5,146.42,8.7
194.64,149.18,8.75
213.57,147.64,8.79
227.0,145.1,8.84
241.8,140.6,8.88
249.6,135.6,8.93
254.45,133.73,8.98
256.8,133.0,9.03
251.45,135.36,9.07
245.27,139.36,9.12
231.45,142.18,9.16
218.4,148.2,9.21
199.82,149.91,9.26
183.14,150.29,9.3
167.0,148.5,9.35
151.67,146.07,9.4
141.36,142.43,9.44
136.64,140.57,9.49
136.0,139.25,9.54
140.0,140.58,9.58
