119,122,0.06
115,120,0.15
117,121,0.22
124,124,0.29
136,127,0.36
151,131,0.42
171,134,0.49
191,133,0.56
210,130,0.63
226,125,0.7
238,120,0.77
246,117,0.84
248,116,0.92
246,116,0.98
240,119,1.04
228,124,1.11
213,128,1.17
194,132,1.23
175,133,1.29
156,132,1.36
139,129,1.42
126,125,1.48
118,122,1.54
115,121,1.61
118,122,1.67
126,124,1.75
139,128,1.81
156,131,1.88
175,133,1.95
195,131,2.01
213,128,2.07
228,123,2.13
239,119,2.2
246,116,2.26
247,115,2.32
245,116,2.38
237,120,2.45
225,124,2.51
209,129,2.57
191,132,2.63
171,132,2.7
153,131,2.76
137,128,2.82
125,124,2.88
118,122,2.95
116,121,3.01
120,122,3.07
129,125,3.13
143,129,3.2
158,131,3.26
179,133,3.32
198,130,3.38
216,127,3.46
230,122,3.52
240,118,3.58
246,116,3.65
246,115,3.71
243,117,3.77
234,121,3.84
222,125,3.9
205,129,3.96
147,193,4.02
168,132,4.08
150,130,4.15
135,127,4.21
124,124,4.27
118,122,4.34
117,121,4.4
122,123,4.46
132,126,4.52
147,129,4.58
166,132,4.64
182,133,4.71
202,130,4.77
219,127,4.83
232,122,4.89
241,119,4.96
245,116,5.02
245,117,5.09
240,119,5.15
231,123,5.21
218,128,5.27
201,132,5.33
181,133,5.39
147,193,5.46
146,130,5.52
133,127,5.58
123,123,5.65
119,121,5.71
119,121,5.77
125,123,5.85
135,126,5.91
150,130,5.97
169,132,6.04
548,262,6.11
204,130,6.17
220,126,6.23
232,122,6.3
240,118,6.36
244,116,6.43
243,116,6.49
547,261,6.56
547,261,6.63
213,128,6.69
196,132,6.75
177,134,6.82
158,132,6.88
144,130,6.94
131,126,7.0
123,123,7.07
119,121,7.13
120,122,7.19
127,124,7.25
138,127,7.31
153,131,7.38
171,134,7.44
191,133,7.5
207,130,7.57
222,126,7.63
234,122,7.69
241,119,7.76
243,117,7.83
242,118,7.89
236,121,7.95
225,125,8.02
211,129,8.08
194,132,8.14
175,133,8.21
157,131,8.27
142,129,8.33
130,126,8.39
122,123,8.46
120,122,8.52
122,122,8.58
130,125,8.64
142,128,8.7
158,131,8.77
176,134,8.83
194,132,8.89
211,129,8.95
225,125,9.02
235,121,9.08
241,118,9.14
243,116,9.21
240,118,9.27
233,121,9.33
221,125,9.39
206,130,9.45
191,132,9.52
